Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-28 22:43:11],4.7,11.6,83,76796,82,72366,80,72366,78,72366,81,72366,81,72366,79,72366,77,71886
[2025-06-28 22:43:14],5.8,11.6,82,76796,78,72366,78,72366,78,72366,77,72366,78,72366,77,72366,79,71886
[2025-06-28 22:43:17],4.5,11.6,84,76796,81,72366,79,72366,77,72366,77,72366,77,72366,77,72366,79,71886
[2025-06-28 22:43:20],4.9,11.6,83,76796,79,72366,80,72366,80,72366,80,72366,79,72366,78,72366,79,71886
[2025-06-28 22:43:23],4.6,11.6,82,76796,78,72366,79,72366,78,72366,79,72366,77,72366,76,72366,79,71886
[2025-06-28 22:43:26],4.5,11.6,82,76796,79,72366,77,72366,77,72366,76,72366,79,72366,76,72366,76,71886
[2025-06-28 22:43:29],4.6,11.6,82,76796,78,72366,77,72366,79,72366,80,72366,78,72366,77,72366,80,71886
[2025-06-28 22:43:32],5.2,11.6,83,76796,80,72366,79,72366,81,72366,78,72366,77,72366,79,72366,79,71886
[2025-06-28 22:43:35],4.6,11.6,82,76796,77,72366,79,72366,77,72366,79,72366,80,72366,80,72366,78,71886
[2025-06-28 22:43:37],4.6,11.6,83,76796,77,72366,78,72366,79,72366,77,72366,78,72366,79,72366,79,71886
[2025-06-28 22:43:39],4.8,11.6,85,76796,77,72366,82,72366,80,72366,78,72366,81,72366,78,72366,80,71886
[2025-06-28 22:43:41],4.6,11.6,81,76796,78,72366,80,72366,79,72366,78,72366,79,72366,79,72366,80,71886
[2025-06-28 22:43:43],4.5,11.6,82,76796,76,72366,79,72366,79,72366,77,72366,78,72366,78,72366,77,71886
[2025-06-28 22:43:46],4.5,11.6,83,76796,78,72366,77,72366,79,72366,77,72366,79,72366,78,72366,77,71886
[2025-06-28 22:43:48],4.8,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:43:51],4.8,11.6,81,76796,76,72366,78,72366,78,72366,79,72366,80,72366,79,72366,77,71886
[2025-06-28 22:43:54],4.5,11.6,84,76796,79,72366,79,72366,80,72366,80,72366,79,72366,79,72366,80,71886
[2025-06-28 22:43:56],22.5,11.6,86,76796,81,72366,82,72366,82,72366,83,72366,83,72366,82,72366,82,71886
[2025-06-28 22:43:59],4.4,11.6,88,76796,83,72366,84,72366,84,72366,84,72366,85,72366,84,72366,84,71886
[2025-06-28 22:44:00],5.3,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:44:02],1.3,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
